label,M,C,S,N,precision,recall,f1
Dx,0,640,0,138,0.5,0.41131105398457585,0.45133991537376583
Hx,0,98,0,37,0.5,0.362962962962963,0.4206008583690988
Lab,0,175,0,205,0.5,0.23026315789473684,0.3153153153153153
R/O,0,12,0,3,0.5,0.4,0.4444444444444445
SYM,0,717,0,646,0.5,0.26302274394717534,0.34471153846153846
Status,0,35,0,236,0.5,0.06457564575645756,0.11437908496732026
Tx,0,355,0,84,0.5,0.4043280182232346,0.44710327455919396
VAX,0,528,0,88,0.5,0.42857142857142855,0.4615384615384615
age,0,0,234,0,0.0,0.0,0.0
dose,0,0,137,0,0.0,0.0,0.0
dx,0,0,180,0,0.0,0.0,0.0
hx,0,0,108,0,0.0,0.0,0.0
lab,0,0,555,0,0.0,0.0,0.0
ro,0,0,32,0,0.0,0.0,0.0
sex,0,0,151,0,0.0,0.0,0.0
status,0,0,48,0,0.0,0.0,0.0
sym,0,0,1002,0,0.0,0.0,0.0
tempo,0,0,1375,0,0.0,0.0,0.0
treatment,0,0,42,0,0.0,0.0,0.0
tx,0,0,157,0,0.0,0.0,0.0
vax,0,0,281,0,0.0,0.0,0.0
