label,M,C,S,N,precision,recall,f1
ae,993,223,572,192,0.8127299484915379,0.7844460227272727,0.798337549692808
age,135,5,6,3,0.9717314487632509,0.9615384615384616,0.9666080843585237
cdrug,235,46,44,29,0.8835616438356164,0.832258064516129,0.8571428571428571
diagnostic,2,42,1,4,0.519774011299435,0.4791666666666667,0.4986449864498645
dose,137,100,46,27,0.7525150905432596,0.7083333333333334,0.7297560975609757
drug,14,28,11,5,0.6256983240223464,0.5957446808510638,0.6103542234332424
ind,69,27,55,13,0.7517084282460137,0.7568807339449541,0.7542857142857142
lab,401,162,66,89,0.8317515099223468,0.7392638036809815,0.782785221274868
mae,9,11,5,4,0.6823529411764706,0.6041666666666666,0.6408839779005524
medical history,443,119,96,61,0.8575085324232082,0.8065810593900482,0.8312655086848637
sdrug,404,89,214,124,0.8206770356816102,0.726904376012966,0.770949720670391
sex,130,0,9,4,0.9829867674858223,0.9701492537313433,0.9765258215962441
status,295,37,109,48,0.872651356993737,0.825,0.8481569157930335
temporal,942,201,182,66,0.8771560790912916,0.8622828784119106,0.8696558915537017
treatment,189,68,47,48,0.8297674418604651,0.7311475409836066,0.7773420479302832
